Header,ID,day,time,session,generation,condition,PC,Str_turn,Str_switch,ignore_cost,overspent,more_spent,maxim,Generation,FutureThink,Ancestor,Return,SV1,SV2,SV3,SV4,SV5,SV6,SV7,SV8,SV9
I1-1A,1,0119,4,1,1,I,A,1,1,2,3,5,2,,,,,3,2,1,2,2,1,2,3,3
I2-1B,2,0119,4,2,1,I,B,1,1,6,5,5,2,,,,,2,1,3,3,1,3,2,1,3
I3-1A,3,1120,4,3,1,I,A,1,1,2,3,4,1,,,,,2,1,3,2,1,3,2,1,3
I4-1B,4,1120,4,4,1,I,B,1,1,3,2,5,2,,,,,3,2,1,2,2,1,1,3,2
I5-1C,5,1120,4,5,1,I,C,1,1,6,5,4,7,,,,,3,2,1,2,2,1,1,3,2
I6-1D,6,1120,4,6,1,I,D,1,2,4,7,2,3,,,,,3,2,1,3,2,1,1,3,2
I7-1C,7,0121,2,7,1,I,C,1,1,7,5,5,3,,,,,3,1,3,2,1,3,2,1,3
I8-1A,8,0121,3,8,1,I,A,2,1,7,2,6,3,,,,,2,2,1,2,2,3,1,3,3
I9-1C,9,0124,2,9,1,I,C,1,1,2,2,5,1,,,,,2,1,3,3,1,3,2,3,2
I10-1C,10,0124,3,10,1,I,C,1,1,2,1,6,2,,,,,2,2,1,3,2,1,2,1,2
I11-1C,11,0125,3,11,1,I,C,1,1,2,2,5,3,,,,,2,2,3,2,1,3,2,3,3
I12-1A,12,0125,2,12,1,I,A,1,1,2,2,3,1,,,,,3,2,3,3,2,1,1,3,2
I13-1C,13,0125,4,13,1,I,C,1,1,3,2,5,3,,,,,2,2,3,2,2,3,1,1,3
I14-1A,14,0201,4,14,1,I,A,1,1,4,3,6,3,,,,,3,2,1,3,2,1,1,3,2
I15-1A,15,0203,3,15,1,I,A,1,2,2,6,7,5,,,,,3,2,1,3,2,1,1,3,2
I16-1A,16,0208,3,16,1,I,A,1,2,1,1,7,4,,,,,3,2,1,3,2,1,1,3,2
I17-1A,17,0208,4,17,1,I,A,2,1,2,2,7,1,,,,,2,1,3,2,1,3,2,1,3
I18-1E,18,0209,4,18,1,I,E,1,2,3,3,5,3,,,,,3,2,1,3,2,1,1,3,2
I19-1B,19,0210,3,19,1,I,B,2,1,1,5,3,1,,,,,2,1,1,2,1,3,2,1,3
I20-1C,20,0211,5,20,1,I,C,1,1,1,2,6,2,,,,,2,1,3,2,1,3,2,1,3
O1-1C,21,0118,3,1,1,O,C,1,2,2,6,6,2,1,6,,,2,1,3,2,1,3,2,1,3
O2-1E,22,0118,3,2,1,O,E,1,1,5,3,5,2,1,4,,,3,2,1,3,2,1,1,3,2
O3-1F,23,0118,3,3,1,O,F,1,2,2,2,6,3,1,4,,,3,2,1,3,2,1,1,3,2
O4-1A,24,0119,3,4,1,O,A,1,1,5,6,5,6,1,5,,,2,1,3,2,1,3,2,1,3
O5-1C,25,0119,3,5,1,O,C,2,2,3,7,3,3,1,5,,,2,1,3,2,1,3,2,1,3
O6-1D,26,0119,3,6,1,O,D,1,1,5,5,5,3,1,5,,,3,2,1,3,2,1,1,3,2
O7-1C,27,0120,3,7,1,O,C,1,1,5,4,2,2,1,4,,,1,1,3,2,1,3,2,1,3
O8-1E,28,0120,3,8,1,O,E,1,1,3,5,3,4,1,4,,,2,1,3,2,1,3,2,1,3
O9-1F,29,0120,3,9,1,O,F,2,1,5,6,6,3,1,3,,,3,2,1,3,2,1,1,3,2
O10-1A,30,0125,3,10,1,O,A,1,1,2,3,6,4,1,3,,,3,2,1,3,2,1,1,3,2
O11-1B,31,0126,2,11,1,O,B,1,2,5,3,5,5,1,6,,,2,2,3,2,2,1,1,1,3
O12-1B,32,0126,3,12,1,O,B,1,2,5,5,5,3,1,5,,,3,2,1,3,2,1,1,1,3
O13-1B,33,0201,3,13,1,O,B,1,2,1,1,5,1,1,3,,,3,2,1,3,2,1,1,3,2
O14-1B,34,0201,4,14,1,O,B,1,1,6,6,4,2,1,7,,,3,2,1,3,2,3,1,3,2
O15-1B,35,0203,2,15,1,O,B,2,1,6,7,1,4,1,2,,,3,2,1,3,2,1,1,3,2
O16-1C,36,0208,2,16,1,O,C,1,1,,5,1,7,2,1,,,2,1,3,2,1,3,2,1,3
O17-1B,37,0208,2,17,1,O,B,1,1,2,1,7,3,1,4,,,3,2,1,3,2,1,1,3,2
O18-1C,38,0209,4,18,1,O,C,1,1,6,2,6,1,1,6,,,2,1,3,2,1,3,2,1,3
O19-1D,39,0209,4,19,1,O,D,1,1,3,5,3,5,1,6,,,2,1,3,2,1,3,2,1,3
O20-1B,40,0211,5,20,1,O,B,1,2,2,6,6,3,1,7,,,3,2,1,3,2,1,1,3,2
O1-2A,41,0118,3,1,2,O,A,1,1,6,6,6,1,2,,7,4,3,2,1,2,2,1,1,3,3
O2-2B,42,0118,3,2,2,O,B,1,1,2,6,6,1,2,,1,1,3,2,1,3,2,1,1,3,2
O3-2D,43,0118,3,3,2,O,D,1,1,5,6,3,4,2,,3,4,3,2,1,3,2,1,1,3,2
O4-2B,44,0119,3,4,2,O,B,1,1,4,7,5,1,2,,1,5,3,2,1,3,2,1,1,3,2
O5-2E,45,0119,3,5,2,O,E,1,1,3,3,5,3,2,,3,2,2,1,3,2,1,3,2,1,3
O6-2F,46,0119,3,6,2,O,F,2,1,7,2,7,1,2,,3,4,3,2,1,3,2,1,1,3,2
O7-2A,47,0120,3,7,2,O,A,1,1,6,7,7,1,2,,1,4,3,1,1,2,1,3,2,1,3
O8-2B,48,0120,3,8,2,O,B,2,1,3,7,3,1,2,,1,3,2,1,3,2,1,3,2,1,3
O9-2A,49,0120,3,9,2,O,A,1,1,3,3,5,2,2,,5,4,2,2,3,2,2,3,2,3,3
O10-2B,50,0125,3,10,2,O,B,1,1,5,6,6,2,2,,2,2,3,1,1,2,1,3,1,1,3
O11-2A,51,0126,2,11,2,O,A,1,1,3,5,2,2,2,,5,6,3,2,1,3,2,1,1,3,2
O12-2A,52,0126,3,12,2,O,A,2,1,7,7,7,1,2,,2,6,3,2,1,3,2,1,1,3,2
O13-2A,53,0201,3,13,2,O,A,1,1,3,2,6,1,2,,3,6,3,2,1,3,2,1,1,3,3
O14-2A,54,0201,4,14,2,O,A,2,1,3,3,6,1,2,,2,3,2,1,3,2,1,3,2,1,3
O15-2A,55,0203,2,15,2,O,A,1,1,2,6,7,1,2,,2,6,2,1,3,2,1,3,2,1,3
O16-2D,56,0208,2,16,2,O,D,1,1,3,1,5,2,2,,3,3,2,1,3,2,1,3,2,1,3
O17-2A,57,0208,2,17,2,O,A,1,1,3,6,3,5,2,,6,4,3,2,1,3,2,1,1,3,2
O18-2A,58,0209,4,18,2,O,A,1,1,2,5,6,3,2,,3,4,2,1,3,2,1,3,2,1,3
O19-2B,59,0209,4,19,2,O,B,2,1,5,6,7,2,2,,1,7,2,2,1,2,2,1,1,3,3
O20-2A,60,0211,5,20,2,O,A,1,1,2,4,7,1,2,,1,4,3,2,4,3,1,3,2,1,3
V1-1A,61,0118,2,1,1,V,A,1,2,2,5,3,1,1,2,,,2,1,3,2,1,3,2,1,3
V2-1B,62,0118,2,2,1,V,B,2,2,1,7,2,1,1,1,,,2,1,3,2,1,3,2,1,3
V3-1D,63,0118,2,3,1,V,D,1,1,3,2,5,2,1,7,,,3,2,1,3,2,1,1,3,2
V4-1B,64,0118,4,4,1,V,B,1,2,3,7,1,1,1,6,,,2,1,3,2,1,3,1,1,3
V5-1D,65,0118,4,5,1,V,D,1,2,1,1,7,6,1,1,,,2,2,3,2,2,3,2,3,3
V6-1A,66,0119,2,6,1,V,A,2,2,1,6,5,1,1,1,,,2,1,3,2,1,3,2,1,3
V7-1D,67,0119,2,7,1,V,D,1,2,3,6,2,4,1,2,,,3,2,1,3,2,1,1,3,3
V8-1B,68,0121,2,8,1,V,B,1,1,2,4,4,3,1,1,,,2,1,3,2,1,3,2,1,3
V9-1B,69,0124,2,9,1,V,B,1,1,7,1,7,1,1,7,,,2,1,3,2,1,3,2,1,3
V10-1B,70,0124,3,10,1,V,B,1,1,5,5,5,2,1,3,,,3,2,1,3,2,1,1,3,3
V11-1B,71,0125,4,11,1,V,B,1,2,5,5,3,2,1,3,,,3,2,3,3,1,3,1,2,3
V12-1A,72,0201,2,12,1,V,A,2,1,1,6,6,1,1,1,,,3,2,1,3,2,1,1,3,2
V13-1B,73,0201,2,13,1,V,B,1,2,3,4,2,5,1,4,,,2,1,3,2,1,3,2,1,3
V14-1D,74,0201,2,14,1,V,D,1,1,3,7,7,1,1,3,,,3,1,1,2,1,3,1,3,2
V15-1B,75,0201,4,15,1,V,B,1,2,1,5,6,1,1,1,,,3,2,1,3,2,1,1,3,3
V16-1B,76,0203,4,16,1,V,B,1,2,3,2,6,2,1,4,,,3,2,1,3,2,1,1,3,2
V17-1A,77,0209,2,17,1,V,A,1,2,1,7,7,1,1,2,,,3,2,1,3,2,1,1,3,2
V18-1C,78,0209,3,18,1,V,C,1,1,3,2,4,4,1,2,,,2,1,3,2,1,3,2,1,3
V19-1D,79,0209,3,19,1,V,D,2,1,2,3,6,2,1,3,,,3,2,1,3,2,1,1,3,2
V20-1A,80,0214,2,20,1,V,A,1,2,2,5,2,2,1,2,,,3,2,1,3,2,1,1,3,2
V1-2C,81,0118,2,1,2,V,C,2,1,6,7,6,2,2,,2,1,3,2,3,2,2,3,1,3,3
V2-2F,82,0118,2,2,2,V,F,1,1,2,1,7,2,2,,2,3,2,1,3,2,1,3,2,1,3
