ID,ChainID,Generation,ExpCondition,Age,Gender,Trial,Choice,Length,Width,Thickness,Fitness,erroredFitness,EarnedMoney,TimeStamp
I1,1,1,I,20,1,1,1,14,6,83,364,373,14.92 ,20220119033624 
I1,1,1,I,20,1,2,2,19,6,83,394,373,14.92 ,20220119033718 
I1,1,1,I,20,1,3,1,19,6,83,394,386,30.36 ,20220119033726 
I1,1,1,I,20,1,4,2,24,6,83,421,386,30.36 ,20220119033738 
I1,1,1,I,20,1,5,1,24,6,83,421,413,46.88 ,20220119033752 
I1,1,1,I,20,1,6,2,29,6,83,446,413,46.88 ,20220119033806 
I1,1,1,I,20,1,7,1,29,6,83,446,446,64.72 ,20220119033814 
I1,1,1,I,20,1,8,2,34,6,83,467,446,64.72 ,20220119033825 
I1,1,1,I,20,1,9,1,34,6,83,467,466,83.36 ,20220119033835 
I1,1,1,I,20,1,10,2,34,6,78,497,466,83.36 ,20220119033908 
I1,1,1,I,20,1,11,1,34,6,78,497,502,103.44 ,20220119033916 
I1,1,1,I,20,1,12,2,34,6,73,525,502,103.44 ,20220119033931 
I1,1,1,I,20,1,13,1,34,6,73,525,516,124.08 ,20220119033938 
I1,1,1,I,20,1,14,2,34,6,68,551,516,124.08 ,20220119033949 
I1,1,1,I,20,1,15,1,34,6,68,551,549,146.04 ,20220119033956 
I1,1,1,I,20,1,16,2,34,6,63,574,549,146.04 ,20220119034008 
I1,1,1,I,20,1,17,1,34,6,63,574,579,169.20 ,20220119034018 
I1,1,1,I,20,1,18,2,34,6,58,596,579,169.20 ,20220119034030 
I1,1,1,I,20,1,19,1,34,6,58,596,598,193.12 ,20220119034038 
I1,1,1,I,20,1,20,2,34,6,53,615,598,193.12 ,20220119034048 
I1,1,1,I,20,1,21,1,34,6,53,615,615,217.72 ,20220119034055 
I1,1,1,I,20,1,22,2,34,6,48,632,615,217.72 ,20220119034107 
I1,1,1,I,20,1,23,1,34,6,48,632,623,242.64 ,20220119034114 
I1,1,1,I,20,1,24,2,39,6,48,651,623,242.64 ,20220119034126 
I1,1,1,I,20,1,25,1,39,6,48,651,639,268.20 ,20220119034134 
I1,1,1,I,20,1,26,2,39,11,48,704,639,268.20 ,20220119034145 
I1,1,1,I,20,1,27,1,39,11,48,704,710,296.60 ,20220119034152 
I1,1,1,I,20,1,28,1,39,11,48,704,716,325.24 ,20220119034201 
I1,1,1,I,20,1,29,2,39,16,48,750,716,325.24 ,20220119034212 
I1,1,1,I,20,1,30,1,39,16,48,750,745,355.04 ,20220119034220 
I1,1,1,I,20,1,31,2,39,21,48,789,745,355.04 ,20220119034229 
I1,1,1,I,20,1,32,1,39,21,48,789,785,386.44 ,20220119034238 
I1,1,1,I,20,1,33,2,39,26,48,822,785,386.44 ,20220119034254 
I1,1,1,I,20,1,34,1,39,26,48,822,828,419.56 ,20220119034303 
I1,1,1,I,20,1,35,2,44,26,48,838,828,419.56 ,20220119034332 
I1,1,1,I,20,1,36,1,44,26,48,838,831,452.80 ,20220119034339 
I1,1,1,I,20,1,37,1,44,26,48,838,835,486.20 ,20220119034346 
I1,1,1,I,20,1,38,2,44,31,48,864,835,486.20 ,20220119034404 
I1,1,1,I,20,1,39,1,44,31,48,864,855,520.40 ,20220119034410 
I1,1,1,I,20,1,40,1,44,31,48,864,857,554.68 ,20220119034419 
I1,1,1,I,20,1,41,1,44,31,48,864,865,589.28 ,20220119034426 
I1,1,1,I,20,1,42,1,44,31,48,864,863,623.80 ,20220119034432 
I1,1,1,I,20,1,43,1,44,31,48,864,856,658.04 ,20220119034440 
I1,1,1,I,20,1,44,1,44,31,48,864,869,692.80 ,20220119034446 
I1,1,1,I,20,1,45,1,44,31,48,864,863,727.32 ,20220119034453 
I1,1,1,I,20,1,46,1,44,31,48,864,861,761.76 ,20220119034501 
I1,1,1,I,20,1,47,1,44,31,48,864,864,796.32 ,20220119034508 
I1,1,1,I,20,1,48,1,44,31,48,864,849,830.28 ,20220119034515 
I1,1,1,I,20,1,49,1,44,31,48,864,859,864.64 ,20220119034522 
I1,1,1,I,20,1,50,1,44,31,48,864,871,899.48 ,20220119034530 
I2,2,1,I,20,3,1,1,14,6,83,364,360,14.40 ,20220119034651 
I2,2,1,I,20,3,2,1,14,6,83,364,361,28.84 ,20220119034730 
I2,2,1,I,20,3,3,1,14,6,83,364,363,43.36 ,20220119034738 
I2,2,1,I,20,3,4,1,14,6,83,364,360,57.76 ,20220119034750 
I2,2,1,I,20,3,5,2,19,6,83,394,360,57.76 ,20220119034810 
I2,2,1,I,20,3,6,1,19,6,83,394,395,73.56 ,20220119034827 
I2,2,1,I,20,3,7,2,19,11,83,447,395,73.56 ,20220119034840 
I2,2,1,I,20,3,8,1,19,11,83,447,450,91.56 ,20220119034852 
I2,2,1,I,20,3,9,2,19,11,88,415,450,91.56 ,20220119034905 
I2,2,1,I,20,3,10,1,19,11,88,415,418,108.28 ,20220119034916 
I2,2,1,I,20,3,11,2,24,11,88,442,418,108.28 ,20220119034931 
I2,2,1,I,20,3,12,1,24,11,88,442,438,125.80 ,20220119034938 
I2,2,1,I,20,3,13,2,24,11,83,474,438,125.80 ,20220119034950 
I2,2,1,I,20,3,14,1,24,11,83,474,470,144.60 ,20220119034957 
I2,2,1,I,20,3,15,2,24,11,78,504,470,144.60 ,20220119035012 
I2,2,1,I,20,3,16,1,24,11,78,504,507,164.88 ,20220119035019 
I2,2,1,I,20,3,17,1,24,11,78,504,500,184.88 ,20220119035027 
I2,2,1,I,20,3,18,2,24,11,73,532,500,184.88 ,20220119035040 
I2,2,1,I,20,3,19,1,24,11,73,532,525,205.88 ,20220119035048 
I2,2,1,I,20,3,20,1,24,11,73,532,529,227.04 ,20220119035055 
I2,2,1,I,20,3,21,2,24,16,73,578,529,227.04 ,20220119035110 
I2,2,1,I,20,3,22,1,24,16,73,578,571,249.88 ,20220119035118 
I2,2,1,I,20,3,23,1,24,16,73,578,587,273.36 ,20220119035125 
I2,2,1,I,20,3,24,2,29,16,73,602,587,273.36 ,20220119035141 
I2,2,1,I,20,3,25,1,29,16,73,602,605,297.56 ,20220119035148 
I2,2,1,I,20,3,26,1,29,16,73,602,609,321.92 ,20220119035155 
I2,2,1,I,20,3,27,2,34,16,73,624,609,321.92 ,20220119035208 
I2,2,1,I,20,3,28,1,34,16,73,624,625,346.92 ,20220119035214 
I2,2,1,I,20,3,29,1,34,16,73,624,625,371.92 ,20220119035221 
I2,2,1,I,20,3,30,2,39,16,73,643,625,371.92 ,20220119035232 
I2,2,1,I,20,3,31,1,39,16,73,643,645,397.72 ,20220119035239 
I2,2,1,I,20,3,32,2,44,16,73,659,645,397.72 ,20220119035251 
I2,2,1,I,20,3,33,2,49,16,73,672,645,397.72 ,20220119035301 
I2,2,1,I,20,3,34,1,49,16,73,672,669,424.48 ,20220119035307 
I2,2,1,I,20,3,35,2,54,16,73,682,669,424.48 ,20220119035319 
I2,2,1,I,20,3,36,1,54,16,73,682,682,451.76 ,20220119035326 
I2,2,1,I,20,3,37,2,59,16,73,690,682,451.76 ,20220119035339 
I2,2,1,I,20,3,38,2,64,16,73,695,682,451.76 ,20220119035353 
I2,2,1,I,20,3,39,2,69,16,73,697,682,451.76 ,20220119035403 
I2,2,1,I,20,3,40,1,69,16,73,697,697,479.64 ,20220119035410 
I2,2,1,I,20,3,41,1,69,16,73,697,695,507.44 ,20220119035417 
I2,2,1,I,20,3,42,1,69,16,73,697,689,535.00 ,20220119035423 
I2,2,1,I,20,3,43,1,69,16,73,697,696,562.84 ,20220119035430 
I2,2,1,I,20,3,44,1,69,16,73,697,689,590.40 ,20220119035436 
I2,2,1,I,20,3,45,1,69,16,73,697,699,618.36 ,20220119035443 
I2,2,1,I,20,3,46,1,69,16,73,697,700,646.36 ,20220119035449 
I2,2,1,I,20,3,47,1,69,16,73,697,694,674.12 ,20220119035455 
I2,2,1,I,20,3,48,1,69,16,73,697,695,701.92 ,20220119035501 
I2,2,1,I,20,3,49,1,69,16,73,697,704,730.08 ,20220119035508 
I2,2,1,I,20,3,50,1,69,16,73,697,697,757.96 ,20220119035514 
I3,3,1,I,21,3,1,1,14,6,83,364,368,14.72 ,20220120034154 
I3,3,1,I,21,3,2,2,19,6,83,394,368,14.72 ,20220120034219 
I3,3,1,I,21,3,3,1,19,6,83,394,387,30.20 ,20220120034234 
I3,3,1,I,21,3,4,2,19,11,83,447,387,30.20 ,20220120034251 
I3,3,1,I,21,3,5,1,19,11,83,447,446,48.04 ,20220120034259 
I3,3,1,I,21,3,6,2,19,11,88,415,446,48.04 ,20220120034315 
I3,3,1,I,21,3,7,1,19,11,88,415,425,65.04 ,20220120034330 
I3,3,1,I,21,3,8,1,19,11,88,415,413,81.56 ,20220120034343 
I3,3,1,I,21,3,9,2,19,11,83,447,413,81.56 ,20220120034402 
I3,3,1,I,21,3,10,2,19,16,83,493,413,81.56 ,20220120034413 
I3,3,1,I,21,3,11,1,19,16,83,493,490,101.16 ,20220120034421 
I3,3,1,I,21,3,12,2,24,16,83,520,490,101.16 ,20220120034439 
I3,3,1,I,21,3,13,1,24,16,83,520,517,121.84 ,20220120034446 
I3,3,1,I,21,3,14,2,24,21,83,559,517,121.84 ,20220120034458 
I3,3,1,I,21,3,15,1,24,21,83,559,559,144.20 ,20220120034509 
I3,3,1,I,21,3,16,2,24,26,83,592,559,144.20 ,20220120034521 
I3,3,1,I,21,3,17,1,24,26,83,592,589,167.76 ,20220120034531 
I3,3,1,I,21,3,18,2,24,31,83,618,589,167.76 ,20220120034544 
I3,3,1,I,21,3,19,2,29,31,83,643,589,167.76 ,20220120034554 
I3,3,1,I,21,3,20,2,29,31,78,673,589,167.76 ,20220120034605 
I3,3,1,I,21,3,21,1,29,31,78,673,677,194.84 ,20220120034614 
I3,3,1,I,21,3,22,2,29,31,73,700,677,194.84 ,20220120034626 
I3,3,1,I,21,3,23,1,29,31,73,700,700,222.84 ,20220120034633 
I3,3,1,I,21,3,24,2,34,31,73,722,700,222.84 ,20220120034647 
I3,3,1,I,21,3,25,2,34,36,73,741,700,222.84 ,20220120034657 
I3,3,1,I,21,3,26,1,34,36,73,741,747,252.72 ,20220120034705 
I3,3,1,I,21,3,27,2,34,36,68,767,747,252.72 ,20220120034714 
I3,3,1,I,21,3,28,1,34,36,68,767,766,283.36 ,20220120034721 
I3,3,1,I,21,3,29,2,34,41,68,780,766,283.36 ,20220120034733 
I3,3,1,I,21,3,30,1,34,41,68,780,783,314.68 ,20220120034740 
I3,3,1,I,21,3,31,2,39,41,68,799,783,314.68 ,20220120034750 
I3,3,1,I,21,3,32,1,39,41,68,799,795,346.48 ,20220120034757 
I3,3,1,I,21,3,33,2,44,41,68,815,795,346.48 ,20220120034808 
I3,3,1,I,21,3,34,1,44,41,68,815,822,379.36 ,20220120034818 
I3,3,1,I,21,3,35,2,44,41,63,838,822,379.36 ,20220120034829 
I3,3,1,I,21,3,36,1,44,41,63,838,841,413.00 ,20220120034836 
I3,3,1,I,21,3,37,2,44,41,58,860,841,413.00 ,20220120034845 
I3,3,1,I,21,3,38,1,44,41,58,860,857,447.28 ,20220120034853 
I3,3,1,I,21,3,39,2,44,41,53,879,857,447.28 ,20220120034906 
I3,3,1,I,21,3,40,1,44,41,53,879,874,482.24 ,20220120034913 
I3,3,1,I,21,3,41,1,44,41,53,879,877,517.32 ,20220120034926 
I3,3,1,I,21,3,42,1,44,41,53,879,875,552.32 ,20220120034933 
I3,3,1,I,21,3,43,1,44,41,53,879,885,587.72 ,20220120034939 
I3,3,1,I,21,3,44,1,44,41,53,879,883,623.04 ,20220120034948 
I3,3,1,I,21,3,45,1,44,41,53,879,885,658.44 ,20220120034954 
I3,3,1,I,21,3,46,1,44,41,53,879,882,693.72 ,20220120035000 
I3,3,1,I,21,3,47,1,44,41,53,879,879,728.88 ,20220120035007 
I3,3,1,I,21,3,48,1,44,41,53,879,875,763.88 ,20220120035014 
I3,3,1,I,21,3,49,1,44,41,53,879,876,798.92 ,20220120035020 
I3,3,1,I,21,3,50,1,44,41,53,879,869,833.68 ,20220120035026 
I4,4,1,I,20,3,1,1,14,6,83,364,356,14.24 ,20220120034618 
I4,4,1,I,20,3,2,2,19,6,83,394,356,14.24 ,20220120034646 
I4,4,1,I,20,3,3,2,19,11,83,447,356,14.24 ,20220120034729 
I4,4,1,I,20,3,4,2,24,11,83,474,356,14.24 ,20220120034743 
I4,4,1,I,20,3,5,2,29,11,83,498,356,14.24 ,20220120034754 
I4,4,1,I,20,3,6,1,29,11,83,498,495,34.04 ,20220120034806 
I4,4,1,I,20,3,7,2,34,11,83,520,495,34.04 ,20220120034820 
I4,4,1,I,20,3,8,2,39,11,83,539,495,34.04 ,20220120034834 
I4,4,1,I,20,3,9,2,44,11,83,555,495,34.04 ,20220120034845 
I4,4,1,I,20,3,10,1,44,11,83,555,550,56.04 ,20220120034900 
I4,4,1,I,20,3,11,2,44,11,88,523,550,56.04 ,20220120034912 
I4,4,1,I,20,3,12,1,44,11,88,523,521,76.88 ,20220120034922 
I4,4,1,I,20,3,13,2,49,11,88,536,521,76.88 ,20220120034937 
I4,4,1,I,20,3,14,2,54,11,88,546,521,76.88 ,20220120034949 
I4,4,1,I,20,3,15,2,59,11,88,554,521,76.88 ,20220120034959 
I4,4,1,I,20,3,16,2,64,11,88,559,521,76.88 ,20220120035009 
I4,4,1,I,20,3,17,2,69,11,88,560,521,76.88 ,20220120035021 
I4,4,1,I,20,3,18,2,74,11,88,560,521,76.88 ,20220120035030 
I4,4,1,I,20,3,19,1,74,11,88,560,564,99.44 ,20220120035039 
I4,4,1,I,20,3,20,2,74,16,88,606,564,99.44 ,20220120035050 
I4,4,1,I,20,3,21,2,74,21,88,645,564,99.44 ,20220120035058 
I4,4,1,I,20,3,22,2,74,26,88,678,564,99.44 ,20220120035109 
I4,4,1,I,20,3,23,2,74,31,88,704,564,99.44 ,20220120035117 
I4,4,1,I,20,3,24,1,74,31,88,704,701,127.48 ,20220120035125 
I4,4,1,I,20,3,25,2,74,36,88,723,701,127.48 ,20220120035134 
I4,4,1,I,20,3,26,2,74,41,88,736,701,127.48 ,20220120035144 
I4,4,1,I,20,3,27,2,74,46,88,742,701,127.48 ,20220120035153 
I4,4,1,I,20,3,28,2,74,51,88,741,701,127.48 ,20220120035203 
I4,4,1,I,20,3,29,1,74,51,88,741,735,156.88 ,20220120035210 
I4,4,1,I,20,3,30,1,74,51,88,741,743,186.60 ,20220120035219 
I4,4,1,I,20,3,31,1,74,51,88,741,750,216.60 ,20220120035228 
I4,4,1,I,20,3,32,1,74,51,88,741,752,246.68 ,20220120035247 
I4,4,1,I,20,3,33,1,74,51,88,741,740,276.28 ,20220120035256 
I4,4,1,I,20,3,34,1,74,51,88,741,751,306.32 ,20220120035305 
I4,4,1,I,20,3,35,1,74,51,88,741,744,336.08 ,20220120035312 
I4,4,1,I,20,3,36,1,74,51,88,741,746,365.92 ,20220120035319 
I4,4,1,I,20,3,37,1,74,51,88,741,740,395.52 ,20220120035326 
I4,4,1,I,20,3,38,1,74,51,88,741,747,425.40 ,20220120035333 
I4,4,1,I,20,3,39,1,74,51,88,741,738,454.92 ,20220120035339 
I4,4,1,I,20,3,40,1,74,51,88,741,754,485.08 ,20220120035346 
I4,4,1,I,20,3,41,1,74,51,88,741,739,514.64 ,20220120035352 
I4,4,1,I,20,3,42,1,74,51,88,741,744,544.40 ,20220120035358 
I4,4,1,I,20,3,43,1,74,51,88,741,732,573.68 ,20220120035405 
I4,4,1,I,20,3,44,1,74,51,88,741,746,603.52 ,20220120035412 
I4,4,1,I,20,3,45,1,74,51,88,741,744,633.28 ,20220120035419 
I4,4,1,I,20,3,46,1,74,51,88,741,743,663.00 ,20220120035428 
I4,4,1,I,20,3,47,1,74,51,88,741,749,692.96 ,20220120035434 
I4,4,1,I,20,3,48,1,74,51,88,741,742,722.64 ,20220120035441 
I4,4,1,I,20,3,49,1,74,51,88,741,736,752.08 ,20220120035447 
I4,4,1,I,20,3,50,1,74,51,88,741,743,781.80 ,20220120035454 
I5,5,1,I,20,2,1,1,14,6,83,364,365,14.60 ,20220120034506 
I5,5,1,I,20,2,2,2,19,6,83,394,365,14.60 ,20220120034614 
I5,5,1,I,20,2,3,1,19,6,83,394,390,30.20 ,20220120034637 
I5,5,1,I,20,2,4,2,19,11,83,447,390,30.20 ,20220120034756 
I5,5,1,I,20,2,5,1,19,11,83,447,447,48.08 ,20220120034814 
I5,5,1,I,20,2,6,2,19,11,88,415,447,48.08 ,20220120034835 
I5,5,1,I,20,2,7,1,19,11,88,415,421,64.92 ,20220120035001 
I5,5,1,I,20,2,8,2,19,11,93,380,421,64.92 ,20220120035148 
I5,5,1,I,20,2,9,1,19,11,93,380,379,80.08 ,20220120035202 
I5,5,1,I,20,2,10,2,19,11,88,415,379,80.08 ,20220120035227 
I5,5,1,I,20,2,11,1,19,11,88,415,417,96.76 ,20220120035239 
I5,5,1,I,20,2,12,2,19,11,86,428,417,96.76 ,20220120035254 
I5,5,1,I,20,2,13,1,19,11,86,428,421,113.60 ,20220120035307 
I5,5,1,I,20,2,14,2,19,11,81,459,421,113.60 ,20220120035323 
I5,5,1,I,20,2,15,1,19,11,81,459,455,131.80 ,20220120035333 
I5,5,1,I,20,2,16,2,19,11,77,483,455,131.80 ,20220120035357 
I5,5,1,I,20,2,17,1,19,11,77,483,483,151.12 ,20220120035406 
I5,5,1,I,20,2,18,2,19,11,72,510,483,151.12 ,20220120035420 
I5,5,1,I,20,2,19,1,19,11,72,510,506,171.36 ,20220120035432 
I5,5,1,I,20,2,20,2,24,11,72,537,506,171.36 ,20220120035445 
I5,5,1,I,20,2,21,1,24,11,72,537,541,193.00 ,20220120035453 
I5,5,1,I,20,2,22,2,29,11,72,562,541,193.00 ,20220120035508 
I5,5,1,I,20,2,23,1,29,11,72,562,559,215.36 ,20220120035517 
I5,5,1,I,20,2,24,2,34,11,72,583,559,215.36 ,20220120035536 
I5,5,1,I,20,2,25,1,34,11,72,583,586,238.80 ,20220120035548 
I5,5,1,I,20,2,26,2,34,6,72,530,586,238.80 ,20220120035606 
I5,5,1,I,20,2,27,1,34,6,72,530,520,259.60 ,20220120035614 
I5,5,1,I,20,2,28,2,34,11,72,583,520,259.60 ,20220120035626 
I5,5,1,I,20,2,29,1,34,11,72,583,577,282.68 ,20220120035635 
I5,5,1,I,20,2,30,2,39,11,72,602,577,282.68 ,20220120035647 
I5,5,1,I,20,2,31,1,39,11,72,602,602,306.76 ,20220120035655 
I5,5,1,I,20,2,32,2,44,11,72,618,602,306.76 ,20220120035716 
I5,5,1,I,20,2,33,1,44,11,72,618,614,331.32 ,20220120035726 
I5,5,1,I,20,2,34,2,44,11,67,643,614,331.32 ,20220120035739 
I5,5,1,I,20,2,35,1,44,11,67,643,638,356.84 ,20220120035749 
I5,5,1,I,20,2,36,1,44,11,67,643,646,382.68 ,20220120035757 
I5,5,1,I,20,2,37,1,44,11,67,643,638,408.20 ,20220120035806 
I5,5,1,I,20,2,38,1,44,11,67,643,643,433.92 ,20220120035813 
I5,5,1,I,20,2,39,2,49,11,67,656,643,433.92 ,20220120035832 
I5,5,1,I,20,2,40,1,49,11,67,656,660,460.32 ,20220120035840 
I5,5,1,I,20,2,41,1,49,11,67,656,662,486.80 ,20220120035858 
I5,5,1,I,20,2,42,1,49,11,67,656,660,513.20 ,20220120035913 
I5,5,1,I,20,2,43,2,54,11,67,667,660,513.20 ,20220120035926 
I5,5,1,I,20,2,44,1,54,11,67,667,665,539.80 ,20220120035934 
I5,5,1,I,20,2,45,1,54,11,67,667,672,566.68 ,20220120035940 
I5,5,1,I,20,2,46,1,54,11,67,667,664,593.24 ,20220120035948 
I5,5,1,I,20,2,47,1,54,11,67,667,671,620.08 ,20220120035955 
I5,5,1,I,20,2,48,1,54,11,67,667,661,646.52 ,20220120040003 
I5,5,1,I,20,2,49,1,54,11,67,667,664,673.08 ,20220120040010 
I5,5,1,I,20,2,50,1,54,11,67,667,658,699.40 ,20220120040018 
I6,6,1,I,19,2,1,1,14,6,83,364,358,14.32 ,20220120034330 
I6,6,1,I,19,2,2,2,19,6,83,394,358,14.32 ,20220120034354 
I6,6,1,I,19,2,3,1,19,6,83,394,397,30.20 ,20220120034408 
I6,6,1,I,19,2,4,2,24,6,83,421,397,30.20 ,20220120034431 
I6,6,1,I,19,2,5,1,24,6,83,421,428,47.32 ,20220120034439 
I6,6,1,I,19,2,6,2,29,6,83,446,428,47.32 ,20220120034453 
I6,6,1,I,19,2,7,1,29,6,83,446,449,65.28 ,20220120034504 
